@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
486.726976,41.47,20.735,15.006667,11.255,7.503333,3.751667,2.0975,1.052917,0.786667,0.59,0.472,1
486.726976,15.67,9.245,6.163333,4.6225,3.213333,3.653333,0.43411,0.281208,0.231076,0.244223,0.213839,0
487.097495,56.1,28.05,18.7,14.025,9.35,4.675,2.3375,1.16875,0.779167,0.779479,0.875917,1
487.097495,33.78,20.04,13.36,10.02,6.68,3.415,1.937083,0.327858,0.264392,0.641146,0.54025,0
500.168083,51.21,35.18,23.453333,17.59,11.726667,5.863333,2.931667,1.465833,1.073333,1.200208,0.99975,1
500.168083,8.19,4.095,3.273333,2.9,2.461667,1.789167,1.29625,0.891875,0.597361,0.448021,0.417583,0
514.053628,7.08,4.43,3.41,4.33,6.101667,3.2175,1.805417,0.902708,0.604583,0.551771,0.441417,1
514.053628,2.12,1.850714,1.350381,1.154857,5.803333,2.901667,1.647083,0.827708,0.159524,0.538958,0.431167,0
518.831009,0,0,0,0,0,0.05,0.479583,0.243958,0.162639,0.121979,0.097583,1
518.831009,?,?,?,?,?,0.016667,0.394274,0.004167,0.002778,0.002083,0.001667,0
519.727634,23.6,12.095,8.063333,6.0475,4.031667,2.015833,1.007917,0.712917,0.5,0.3975,0.318,1
519.727634,23.05,3.158704,2.278765,1.840741,1.312469,0.735031,0.425216,0.245671,0.204336,0.191628,0.188651,0
519.727634,29.83,14.915,9.943333,7.4575,4.971667,2.485833,1.242917,0.621458,0.414306,0.310729,0.417167,1
519.727634,23.05,14.77,9.846667,7.385,4.923333,2.461667,0.425216,0.245671,0.204336,0.191628,0.188651,0
519.727634,27.63,20.905,13.936667,10.4525,6.968333,3.484167,1.742083,0.871042,0.580694,0.435521,0.348417,1
519.727634,23.05,14.77,9.846667,7.385,4.923333,2.461667,1.585417,0.862708,0.577917,0.433437,0.188651,0
527.846676,12.41,6.205,4.136667,3.1025,2.068333,1.034167,0.525417,0.262708,0.175139,0.131354,0.105083,1
527.846676,4.53,5.795,1.316923,1.205673,0.963526,0.670513,0.403221,0.008333,0.005556,0.004167,0.003333,0
527.846676,1.58,0.79,0.526667,0.395,0.263333,0.131667,0.065833,0.032917,0.021944,0.026875,0.11075,1
527.846676,1.436154,0.1,0.066667,0.05,0.066667,0.033333,0.016667,0.008333,0.005556,0.004167,0.003333,0
532.730371,55.17,27.585,18.39,13.7925,9.195,4.5975,2.323333,2.342708,1.614306,1.793229,1.434583,1
532.730371,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,1.515417,1.010278,1.085833,1.071917,0
532.730371,35.14,17.57,11.713333,8.785,5.856667,2.928333,1.62125,1.077708,1.317222,0.987917,0.790333,1
532.730371,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,1.010278,0.250778,0.249986,0
533.311777,0,0,0,0,0.228333,3.2475,2.77125,1.385625,0.92375,0.707187,0.68075,1
533.311777,?,?,?,?,0.033333,0.805716,2.477083,0.338776,0.299667,0.287482,0.272505,0
542.789101,6.88,3.44,2.293333,1.72,1.738333,1.375833,0.687917,0.754583,1.04625,0.784687,0.655583,1
542.789101,0.9172,0.6448,0.575067,0.5597,0.4854,0.3569,0.284733,0.197583,0.597361,0.448021,0.417583,0
542.789101,4.12,2.06,1.373333,1.03,0.686667,0.343333,0.171667,0.168125,0.112083,0.094375,0.0755,1
542.789101,0.9172,0.6448,0.575067,0.5597,0.4854,0.016667,0.008333,0.004167,0.002778,0.002083,0.001667,0
542.789101,3.34,1.67,1.113333,0.835,0.556667,0.278333,0.23875,0.30875,0.205833,1.058958,0.865167,1
542.789101,0.9172,0.6448,0.575067,0.5597,0.4854,0.016667,0.008333,0.197583,0.160339,0.448021,0.417583,0
542.789101,2.75,1.375,0.916667,0.6875,0.458333,0.229167,0.114583,0.057292,0.040972,0.030729,0.024583,1
542.789101,0.9172,0.6448,0.575067,0.5597,0.033333,0.016667,0.008333,0.004167,0.002778,0.002083,0.001667,0
553.581606,0,0,0,0.2475,2.033333,4.025,2.914583,1.457292,0.971528,0.755417,0.71925,1
553.581606,?,?,?,0.05,0.551667,1.848333,1.1825,0.838125,0.603056,0.452292,0.394417,0
553.581606,0,0,0.33,0.7375,2.983333,4.14,2.914583,1.457292,0.971528,0.755417,0.71925,1
553.581606,?,?,0.066667,0.610357,0.551667,1.848333,1.1825,0.838125,0.603056,0.452292,0.394417,0
553.581606,0.2,0.2,0.2,0.15,0.166667,0.25,0.316667,0.158333,0.105556,0.079167,0.063333,1
553.581606,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.297381,0.008333,0.005556,0.004167,0.003333,0
554.514898,21.37,10.685,7.123333,5.3425,3.561667,1.780833,1.523333,0.761667,0.507778,0.380833,0.304667,1
554.514898,15.67,9.245,6.163333,4.6225,3.213333,0.69404,0.43411,0.281208,0.231076,0.244223,0.213839,0
555.900222,2.95,2.555,2.036667,1.7775,1.418333,0.975833,0.980417,0.502708,0.335139,0.251354,0.201083,1
555.900222,1.398571,0.863571,0.69,0.610357,0.551667,0.46744,0.297381,0.210789,0.167966,0.140722,0.130131,0
561.880395,0,1.18,3.803333,4.9675,3.411667,1.705833,0.852917,0.426458,0.303472,0.371354,0.297083,1
561.880395,?,0.1,2.407089,1.952183,1.405704,0.805716,0.47571,0.338776,0.299667,0.287482,0.272505,0
562.529702,24.2,18.39,20.88,15.66,10.44,5.22,2.61,1.305,0.87,0.6525,0.522,1
562.529702,4.53,5.795,7.366667,6.9725,5.24,3.096667,1.680417,0.840208,0.568472,0.504375,0.4035,0
